id,lesson_id,kanji,hiragana,translation,example_ja,example_mn,order_number,created_at,updated_at,chapter_id
0387d21e-b7f5-467a-a807-6d9e6d86b6f1,345e526a-49f0-4d8f-b6b8-8bb2f8e71fd3,まんざら～ない,,"Тийм ч муугүй, төдийлөн үгүй биш",彼女も彼のことをまんざら嫌いでもないようだ。,Тэр эмэгтэй ч гэсэн түүнд тийм ч дургүй биш бололтой.,8,2025-03-23 10:05:30.656538+00,2025-03-23 10:05:30.656538+00,
03c0e0ec-3bac-4972-b6e1-34c717acff9d,4e8e7273-45f5-4feb-81ea-964572739464,絶つ,たつ,Харилцаа таслах,もう彼との連絡は絶とうと思っている。,Одоо түүнтэй харилцаагаа тасалъя гэж бодож байна.,4,2025-03-23 13:37:05.21592+00,2025-03-23 13:37:05.21592+00,
03e525e4-c137-4d99-a499-ff5c80d468ba,505333b1-7e8a-47e8-917a-787997ed085f,殺到＜する＞,さっとう＜する＞,Давшилдах,俳優のサイン会にファンが殺到した。,Жүжигчний гарын үсгийн тоглолтод фанатууд давшилдсан.,20,2025-03-23 12:08:22.092275+00,2025-03-23 12:08:22.092275+00,
0405335b-a630-401c-9dca-3b70774d3d62,7cedd71f-b5a0-426b-88fb-94bc7ade6185,害する,がいする,Хор хохирол учруулах,健康を害して、会社を辞めることになった。,Эрүүл мэндэд хор учруулснаас компаниа орхисон.,21,2025-03-23 11:46:22.462742+00,2025-03-23 11:46:22.462742+00,
04061536-1746-4cf8-8c1b-6fdc86a9c569,4e35c101-f7d0-401a-a363-b7a0683b2778,気立て,きだて,Зан чанар,素直で気立てのいい女性が理想だ。,"Шулуун, сайн зан чанартай эмэгтэй миний идеал юм.",11,2025-03-23 13:06:50.353621+00,2025-03-23 13:06:50.353621+00,
0418f4d9-4c5a-4f1d-b290-45fbe2393565,b9bb74ac-fc5e-43be-a199-3be9602e177c,やまやまな,やまやまな,Хүчтэй хүсэл,仕事を続けたい気持ちはやまやまだ。,Ажил үргэлжлүүлэх хүсэл маш их.,30,2025-03-23 09:48:46.010489+00,2025-03-23 09:48:46.010489+00,
042a1b66-3c0c-4edb-b9b7-f15ac08d1fc3,9cebe825-a9f1-4f01-aa1f-00d8bed57075,同伴＜する＞,どうはん＜する＞,Хамт явах,両親を同伴してヨーロッパに行く。,Эцэг эхтэй хамт Европ руу явна.,14,2025-03-23 12:10:34.87761+00,2025-03-23 12:10:34.87761+00,
0491e7c7-d95b-454d-a98e-ce3018bdbfab,505333b1-7e8a-47e8-917a-787997ed085f,ドキュメンタリー,どきゅめんたりー,Баримтат,ドキュメンタリー番組を見て、社会の問題点に気づいた。,Баримтат нэвтрүүлэг үзээд нийгмийн асуудлуудыг анзаарсан.,16,2025-03-23 12:08:22.092275+00,2025-03-23 12:08:22.092275+00,
04a78c6c-a838-4890-8a9d-c875fa6ca860,40499558-4cf4-440d-8613-45c04c72dce5,明快な,めいかいな,Тодорхой,田中先生の言葉は明快で、とてもわかりやすい。,Танака багшийн үг тодорхой бөгөөд маш ойлгомжтой.,8,2025-03-23 13:18:13.287389+00,2025-03-23 13:18:13.287389+00,
04fee3ca-a95d-4448-a31d-f17332ad3c50,345e526a-49f0-4d8f-b6b8-8bb2f8e71fd3,育む,はぐくむ,"Өсгөх, бойжуулах",遠くに住んでも、二人は愛を育んでいる。,Хол газар амьдарсан ч гэсэн хоёр биендээ хайраа өсгөж байна.,16,2025-03-23 10:05:40.668138+00,2025-03-23 10:05:40.668138+00,
05000b12-dc68-4fcc-b8b1-e6776c5a6add,d088384c-1811-43c9-8514-c18c1cd2c69a,究明＜する＞,きゅうめい＜する＞,Судалчих,事故の原因を究明する。,Осолын шалтгааныг судална.,22,2025-03-23 12:48:30.227492+00,2025-03-23 12:48:30.227492+00,
05248c6c-2d9f-4e5c-b4f5-1dba4d02df58,4e35c101-f7d0-401a-a363-b7a0683b2778,クールな,くーるな,Тайван,彼は一見クールだが、実は情熱的な人だ。,Тэр харахад тайван ч гэсэн үнэндээ хүсэл тэмүүлэлтэй хүн юм.,15,2025-03-23 13:06:50.353621+00,2025-03-23 13:06:50.353621+00,
0569ff97-2cd0-4e8f-b66c-b5bae4f04a8e,39a88a52-dbd8-4d8a-a383-76050eb7f9e6,むくむ,むくむ,Хавагнах,足がむくみやすくなった。,Хөл амархан хавагнадаг болсон.,13,2025-03-23 11:48:21.587158+00,2025-03-23 11:48:21.587158+00,
057520b7-32ec-42e0-af6f-2f9efcc4d21a,345e526a-49f0-4d8f-b6b8-8bb2f8e71fd3,運命,うんめい,"Тавилан, хувь заяа",二人の出会いに運命を感じた。,Хоёр хүний учралд тавилан байгаа мэт санагдсан.,14,2025-03-23 10:05:30.656538+00,2025-03-23 10:05:30.656538+00,
058ae533-5643-4134-85a9-d2a5ea4fe5f7,85a7e180-d44e-45d7-8a11-f1f9a5ecdd70,アフターサービス,あふたーさーびす,Борлуулалтын дараах үйлчилгээ,あの店は商品のアフターサービスも万全だ。,Тэр дэлгүүрийн барааны борлуулалтын дараах үйлчилгээ маш сайн.,25,2025-03-23 10:22:51.325631+00,2025-03-23 10:22:51.325631+00,
05a51e9c-95df-42a1-b43f-f76f0092bf44,7bd4737a-5a98-4dc3-ac6b-ea493cfc2326,仕掛ける,しかける,Эхлүүлчих,①A国がB国に攻撃を仕掛けた。②A国が仕掛けたわなにはまった。,①А улс В улс руу довтолгоо эхлүүлсэн. ②А улсын тавьсан урхины дунд орохсон.,18,2025-03-23 12:22:39.923218+00,2025-03-23 12:22:39.923218+00,
05adba05-cfb1-4e83-9ccb-6c5a028a1ed6,769d63cb-e4d5-47d2-9b96-f23c4935414c,ぼうぜんと＜する＞,ぼうぜん,Гайхширчих,終了直前に相手に点を入れられ、一同ぼうぜんとした。,Төгсгөлд ойрхон өрсөлдөгч оноо авснаас бүгд гайхширсан.,28,2025-03-23 11:58:55.6352+00,2025-03-23 11:58:55.6352+00,
05c1dcaf-40b2-47c0-85e6-ba82248790c9,ed3b96e2-5464-466d-ad47-b1c0a4582140,壮大な,そうだいな,Сүрлэг,自然が作り上げた壮大な風景に感動した。,Байгальд бүтээгдсэн сүрлэг төрхөнд сэтгэл хөдөлсөн.,3,2025-03-23 12:35:03.498765+00,2025-03-23 12:35:03.498765+00,
0652e184-7fd0-442d-a471-2155ccc5e8a4,0502202f-9c7d-4968-8bce-838fc9e4fa7a,人情,にんじょう,Хүний сэтгэл,いろいろな所で温かい人情に触れた。,Төрөл бүрийн газарт дулаан хүний сэтгэлийг мэдэрсэн.,6,2025-03-23 12:14:13.878124+00,2025-03-23 12:14:13.878124+00,
0668db78-7797-4448-a126-c2ebbe484331,4ba4172f-b2c7-4ef0-b1ac-533d1c0db0ca,桁,けた,"Тоо, орон",部長と私ではボーナスの桁が違う。,Дарга бид хоёрын бонусын тооны орон өөр.,19,2025-03-23 10:20:21.111298+00,2025-03-23 10:20:21.111298+00,
066acc73-65c5-4195-a852-b288a2c3bf4b,7bd4737a-5a98-4dc3-ac6b-ea493cfc2326,危うい,あやうい,Аюултай,A国とB国の関係は危うい状態だ。,"А улс, В улсын харилцаа аюултай байдалтай байна.",14,2025-03-23 12:22:39.923218+00,2025-03-23 12:22:39.923218+00,
069c7010-a75d-4e12-8cd1-b25b66783725,a394b6cb-8b95-4c62-8a51-a4cbf0ac8106,くつろぐ,くつろぐ,"Амрах, тайвшрах",リビングのソファーでゆったりとくつろぐ。,Зочны өрөөний буйдан дээр тухлан амардаг.,1,2025-03-23 10:52:53.124798+00,2025-03-23 10:52:53.124798+00,
06dfda78-9a57-4285-bae4-cd281f7e2b88,ec148ee4-6891-4e4e-a7fc-fc662d515233,きっぱり[と]＜する＞,きっぱり,Шуудхан,曖昧にせずに、嫌なことはきっぱりと断わるべきだ。,"Тодорхой бус байлгүй, дургүй зүйлээ шуудхан татгалзах хэрэгтэй.",28,2025-03-23 10:18:03.480512+00,2025-03-23 10:18:03.480512+00,
0711669c-c781-4bca-a23e-f2de2985f8b8,b9bb74ac-fc5e-43be-a199-3be9602e177c,懐く,なつく,Дотносох,犬が飼い主に懐いている。,Нохой эзэндээ дотносож байна.,16,2025-03-23 09:48:46.010489+00,2025-03-23 09:48:46.010489+00,
071a539a-5de2-40f8-83b8-ea3617260559,c5b42bf9-a63f-48b7-8939-a88809d320ca,操縦＜する＞,そうじゅう＜する＞,Жолоодох,友達が操縦する小型飛行機に乗せてもらった。,Найзын жолооддог жижиг онгоцонд суусан.,20,2025-03-23 12:41:39.761898+00,2025-03-23 12:41:39.761898+00,
07275dfc-18d3-4564-873a-f611bb46118b,d67a43fd-ac8e-42a1-82f8-9f78e3bf5898,推測＜する＞,すいそく＜する＞,Тагнуулчих,警察は犯行の動機を推測する。,Цагдаа хэргийн сэдлийг тагнуулдаг.,25,2025-03-23 12:53:46.814815+00,2025-03-23 12:53:46.814815+00,
0736b22d-9cea-4e61-8c2a-7dc163f95fb4,87aebbb4-3e07-475e-aba8-14158d4e23f6,放棄＜する＞,ほうき＜する＞,Орхичих,どの国も環境改善の責任を放棄することは許されない。,Ямар ч улс байгаль орчны сайжруулалтын хариуцлагыг орхиж болохгүй.,23,2025-03-23 12:31:44.854307+00,2025-03-23 12:31:44.854307+00,
0751a872-e425-457d-af81-abf29d7b2d12,4e35c101-f7d0-401a-a363-b7a0683b2778,生真面目＜な＞,きまじめ＜な＞,Нухацтай,あんなに生真面目な人に会ったことがない。,Ийм нухацтай хүнтэй уулзаж байгаагүй.,4,2025-03-23 13:06:50.353621+00,2025-03-23 13:06:50.353621+00,
077193f3-f306-4e73-838f-c72cefa7d8d3,7b5f158e-136b-4312-a9ec-8ee4afedad00,くらくら[と]＜する＞,くらくら,Толгой эргэх,急に立ち上がったら、目まいでくらくらした。,Гэнэт босохоор толгой эргэжээ.,13,2025-03-23 13:24:14.953392+00,2025-03-23 13:24:14.953392+00,
079bd6ed-9a61-4a76-a08a-0c616ab4d30a,b18c660f-2585-425c-b5d2-cb7f45ed025c,がっちり[と]＜する＞,がっちり,"Бат бөх, тогтвортой",災害に強いがっちりとした家が欲しい。,Гамшигт тэсвэртэй бат бөх гэр хүсдэг.,12,2025-03-23 10:36:44.712668+00,2025-03-23 10:36:44.712668+00,
07a3b42c-20bc-41da-83f2-f34ea97366c2,ba41efc5-f175-4a48-87c9-bad851247842,誤り,あやまり,Алдаа,試験後、出題文の誤りが訂正された。,Шалгалтын дараа асуултын алдааг засварласан.,18,2025-03-23 11:00:47.691982+00,2025-03-23 11:00:47.691982+00,
07a7aa3c-1d1b-4e09-8622-0001c5bf21f1,d67a43fd-ac8e-42a1-82f8-9f78e3bf5898,さらわれる,さらわれる,Хулгайлагдчих,この近くで幼い子供がさらわれた。,Эндэх ойролцоо бага насны хүүхэд хулгайлагдсан.,22,2025-03-23 12:53:46.814815+00,2025-03-23 12:53:46.814815+00,
07ac503d-974d-450f-8193-5f096bb1b984,7bd4737a-5a98-4dc3-ac6b-ea493cfc2326,唱える,となえる,Хэлчих,A国がB国の主張に異議を唱えた。,А улс В улсын баримтлалд эсэргүүцэл хэлсэн.,10,2025-03-23 12:22:39.923218+00,2025-03-23 12:22:39.923218+00,
07e41cb7-9747-4cac-bd8a-999fcedeefb5,dbae3d05-1eff-47c3-baa8-97736b2e721f,いずれにしても,いずれにしても,Ямар ч байсан,進学か就職か。いずれにしても日本に住みたい。,Дээд сургууль эсвэл ажил уу? Ямар ч байсан Японд амьдармаар байна.,15,2025-03-23 13:31:01.354096+00,2025-03-23 13:31:01.354096+00,
08093cd6-5bcb-435e-8bb2-04ea8dbd54c2,7fc06800-3efd-443c-9fb3-a0df2e41ba48,透き通る,すきとおる,Тунгалаг,彼女の透き通るような肌が羨ましい。,Түүний тунгалаг арьсанд атаархдаг.,10,2025-03-23 11:53:58.528033+00,2025-03-23 11:53:58.528033+00,
0824fb1c-e5b7-4ad2-8f1a-9729a934eebe,d67a43fd-ac8e-42a1-82f8-9f78e3bf5898,突き止める,つきとめる,Тогтоох,警察がようやく事件の真相を突き止めた。,Цагдаа эцэстээ хэргийн бодит байдлыг тогтоосон.,27,2025-03-23 12:53:46.814815+00,2025-03-23 12:53:46.814815+00,
08592046-791f-412d-80eb-35e479420b31,7b5f158e-136b-4312-a9ec-8ee4afedad00,ばらばら[と],ばらばら[と],Тархай,大雨がばらばらと降ってきた。,Том бороо тархай орж эхэлсэн.,6,2025-03-23 13:24:14.953392+00,2025-03-23 13:24:14.953392+00,
08ce6efe-9afb-430d-b551-93522dea7c9b,211feb2e-faa4-4eb2-98ac-05650dae1dc5,格式,かくしき,Загвар,私の実家は格式を重んじる家だ。,Миний гэр бүл загварыг чухалчилдаг гэр бүл.,13,2025-03-23 11:41:32.940535+00,2025-03-23 11:41:32.940535+00,
08f60336-881a-4c7b-bb5b-3998c57c61ab,b9bb74ac-fc5e-43be-a199-3be9602e177c,いたわる,いたわる,"Асрах, халамжлах",老人をいたわる。,Ахмад настныг халамжлах.,35,2025-03-23 09:48:46.010489+00,2025-03-23 09:48:46.010489+00,
0933867d-85ac-4bf8-8a63-15022b8faee2,ec148ee4-6891-4e4e-a7fc-fc662d515233,割り切る,わりきる,"Салгах, тусгаарлах",嫌なことも仕事と割り切ってやるしかない。,Дургүй зүйл ч гэсэн ажил гэж тусгаарлаад хийхээс өөр аргагүй.,21,2025-03-23 10:18:03.480512+00,2025-03-23 10:18:03.480512+00,
09595e90-ec82-4c4c-aa81-88fbb6b9f4a5,e1ac6992-1af2-4e67-8712-97e592ad7b12,契機,けいき,"Боломж, тохиолдол",就職を契機に、引っ越しをすることになった。,Ажилд орох боломжоор нүүхээр болсон.,2,2025-03-23 10:54:30.466748+00,2025-03-23 10:54:30.466748+00,
09c07b62-e66d-4f86-8448-38a1b829a2ab,505333b1-7e8a-47e8-917a-787997ed085f,巨匠,きょしょう,Мастер,この映画はロシアの巨匠が監督している。,Эндэх киног Оросын мастер найруулсан.,18,2025-03-23 12:08:22.092275+00,2025-03-23 12:08:22.092275+00,
09dc1d83-881e-489e-ade8-49a12410f0cb,e8c85cc1-45c6-45de-90f5-fbdabc368845,前途多難な,ぜんとたなんな,Ирээдүйд хэцүү,新しい大統領の政治は前途多難だ。,Шинэ ерөнхийлөгчийн улс төр ирээдүйд хэцүү.,13,2025-03-23 12:17:00.045042+00,2025-03-23 12:17:00.045042+00,
0a039fb0-0c57-4671-9579-5ee80723af02,c5b42bf9-a63f-48b7-8939-a88809d320ca,沈黙＜する＞,ちんもく＜する＞,Дуугүй байх,映画を見終わって、一同はしばらく沈黙していた。,Кино дууссаны дараа бүгд хэсэг дуугүй байсан.,22,2025-03-23 12:41:39.761898+00,2025-03-23 12:41:39.761898+00,
0a276702-a0b3-49d4-95b4-93316cede92c,b9bb74ac-fc5e-43be-a199-3be9602e177c,身内,みうち,Хамаатан садан,身内に医者がいると、何かと安心だ。,Хамаатан садандаа эмч байвал ямар ч үед тайван байна.,1,2025-03-23 09:48:46.010489+00,2025-03-23 09:48:46.010489+00,
0a573ce8-c2dd-49f8-acb0-0ae5eb773cae,345e526a-49f0-4d8f-b6b8-8bb2f8e71fd3,のろける,,"Бахархах, сагсуурах",親友はいつも恋人のことをのろけている。,Найз маань байнга найз залуугаа бахархаж ярина.,17,2025-03-23 10:05:30.656538+00,2025-03-23 10:05:30.656538+00,
0a957f09-1a57-455d-8ddf-09ca44524716,ad943560-292c-4df9-b552-f080eb29300f,耳を澄ます,みみをすます,Сонсох,鳥の鳴き声に耳を澄ました。,Шувуудын дууг сонссон.,17,2025-03-23 13:39:31.367976+00,2025-03-23 13:39:31.367976+00,
0a9588fa-1026-4c41-b341-1e4afe752799,1481d919-d023-47b7-91c7-baab70e068a2,取り合う,とりあう,Өрсөлдчих,隣国同士で領土を取り合う。,Хөрш улсууд нутаг дэвсгэрийг өрсөлддөг.,15,2025-03-23 12:20:44.073715+00,2025-03-23 12:20:44.073715+00,
0aa88641-894d-4e5b-be79-13308e066025,87aebbb4-3e07-475e-aba8-14158d4e23f6,要因,よういん,Шалтгаан,A国で空気汚染の要因を調査した。,А улсад агаарын бохирдлын шалтгааныг судалсан.,14,2025-03-23 12:31:44.854307+00,2025-03-23 12:31:44.854307+00,
0aa93b75-0266-42bd-a43b-39c35b7b0942,4c6976ef-bf52-4175-be01-67b81adcf92c,終始＜する＞,しゅうし＜する＞,Эхнээс дуустал,会議中、彼は終始下を向いたままだった。今日の会議は、無駄な話し合いに終始した。,Хурлын турш тэр эхнээс дуустал доош харж байсан. Өнөөдрийн хурал эхнээс дуустал тэнэг яриатай байсан.,7,2025-03-23 13:34:19.234128+00,2025-03-23 13:34:19.234128+00,
0ab658df-8c2e-4ed9-91d2-6583a6613318,7bd4737a-5a98-4dc3-ac6b-ea493cfc2326,おびえる,おびえる,Айчих,人々は戦争の不安におびえている。,Хүмүүс дайны санаа зовнилоос айдаг.,15,2025-03-23 12:22:39.923218+00,2025-03-23 12:22:39.923218+00,
0b075416-e7fd-4f46-a1d6-bad1a11d9925,0502202f-9c7d-4968-8bce-838fc9e4fa7a,オーロラ,おーろら,Туйлын туяа,一生に一度でいいからオーロラを見てみたい。,Амьдралдаа нэг удаа туйлын туяаг харахыг хүсдэг.,18,2025-03-23 12:14:13.878124+00,2025-03-23 12:14:13.878124+00,
0b426c8b-bd88-401e-866c-23a1f499cc04,cd2f2824-bc2c-4520-94f2-310e23e61ea9,つつく,つつく,"Хүрэх, тоглох",①箸で食べ物をつつくのはやめなさい。②人の欠点をつついてはいけない。,①Савхаар хоол тоглохоо боль. ②Хүний дутагдлыг хүрч болохгүй.,9,2025-03-23 10:24:37.241435+00,2025-03-23 10:24:37.241435+00,
0b51aa7a-791b-4110-962d-f67ba3501d39,931c7fb5-e0c3-4a21-a64b-916bf58c2787,巧みな,たくみな,Уран,私の祖父は巧みな技で美しい伝統品を作り出す。,Миний өвөө уран урлалаар үзэсгэлэнтэй уламжлалт бүтээгдэхүүн үйлдвэрлэдэг.,4,2025-03-23 11:35:22.02606+00,2025-03-23 11:35:22.02606+00,
0b5c952c-19db-481f-8699-a2ee28872ea8,98fd16f0-93c3-490b-89ae-ce7de6d637ac,切り抜ける,きりぬける,Давчих,何とか会社の危機を切り抜けた。,Яг л компанийн хямралыг давсан.,19,2025-03-23 11:16:05.710215+00,2025-03-23 11:16:05.710215+00,
0b6ad83f-cb7a-4123-ab93-d50ffa7aeceb,9d446a74-9bcc-46bc-8621-2d54ec6086af,日々,ひび,Өдөр бүр,平凡だが、日々の暮らしを楽しんでいる。,Эгэл боловч өдөр тутмын амьдралаа тоглож байна.,26,2025-03-23 10:27:46.377963+00,2025-03-23 10:27:46.377963+00,
0b9aa4ff-a5b9-4449-9ef9-21f144b14722,672afe3a-cad9-4b2d-975e-0b4f4774ffbe,架空,かくう,Хийсвэр,これは架空の話だが、とても現実的だ。,Эндэх хийсвэр түүх ч маш бодитой.,33,2025-03-23 12:05:54.682445+00,2025-03-23 12:05:54.682445+00,
0ba08c53-b9b8-42f3-ace2-6e7f73561284,d67a43fd-ac8e-42a1-82f8-9f78e3bf5898,追い詰める,おいつめる,Хаах,警察はせっかく追い詰めた犯人を逃した。,Цагдаа хашсан гэмт хэрэгтнийг алдсан.,33,2025-03-23 12:51:57.151027+00,2025-03-23 12:51:57.151027+00,
0ba2b427-022d-4c78-b875-554cdc66e574,1d10a05a-f114-4e9d-aecf-adfad968bb94,回答＜する＞,かいとう＜する＞,Хариулчих,約80パーセントの市民がアンケートに回答した。,Ойролцоогоор 80 хувийн иргэд санал асуулгад хариулсан.,13,2025-03-23 11:30:08.321853+00,2025-03-23 11:30:08.321853+00,
0bb538a9-05d1-4f81-9242-1292d7a5b425,e8c85cc1-45c6-45de-90f5-fbdabc368845,飢える,うえる,Өлсчих,世界には飢えて苦しむ子供たちがたくさんいる。,Дэлхийд өлсдөг зовдог хүүхдүүд олон байна.,30,2025-03-23 12:17:00.045042+00,2025-03-23 12:17:00.045042+00,
0be41040-37ae-420f-a2ce-144f47027116,702c6c63-592e-4330-9fd6-47f6c8ed3fe2,提示＜する＞,ていじ＜する＞,Санал болгочих,転職先の会社に条件を提示した。,Шилжих компанидаа нөхцөл санал болгосон.,14,2025-03-23 11:25:22.910037+00,2025-03-23 11:25:22.910037+00,
